sentence	label
the movie begins in the past where a young boy named sam attempts to save celebi from a hunter . 	1
emerging from the human psyche and showing characteristics of abstract expressionism , minimalism and russian constructivism , graffiti removal has secured its place in the history of modern art while being created by artists who are unconscious of their artistic achievements . 	1
spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larger with child . 	1
amitabh can't believe the board of directors and his mind is filled with revenge and what better revenge than robbing the bank himself , ironic as it may sound . 	1
she , among others excentricities , talks to a small rock , gertrude , like if she was alive . 	1
this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had . 	1
"styled after vh1's "" behind the music , "" this mockumentary profiles the rise and fall of an internet startup , called icevan . com . "	1
being blue is not his only predicament ; he also lacks the ability to outwardly express his emotions . 	1
the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation . 	1
david is a painter with painter's block who takes a job as a waiter to get some inspiration . 	1
women craved him and men wanted to be him . 	1
set on an island off the coast of florida , a techno rave party attracts a diverse group of college coeds and a coast guard officer . 	1
"lesson to be learned : never , never mess with "" the gay mafia ! "" "	1
the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers . 	1
they're jewish , they're grandmothers , and they're lesbians . 	1
but he's neglecting his work , carping at his mom , and behaving badly toward his loyal friend bobbi . 	1
with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to find the code . 	1
valento feels the heat and turns the table : he makes the dupe into one of his own and rubs the da's nose in it . 	1
saigon , 1952 , a beautiful , exotic , and mysterious city caught in the grips of the vietnamese war of liberation from the french colonial powers . 	1
deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking . 	1
as a young teenager , he finds out who his father is . 	1
"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l . a . 's east side . "	1
all these games of chasing , rejecting and seducing are played out in an economically and spiritually depressed hong kong , without much gusto . 	1
television made him famous , but his biggest hits happened off screen . 	1
jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice . 	1
'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors . 	1
however , jane , wendy's 12-year-old daughter , sees it all as make believe and refuses to believe in the tales . 	1
"called "" an elegant documentary "" by sundance and "" eloquent and deeply moving "" by the la times , toyo miyatake : infinite shades of gray is a penetrating portrait of this photographer's search for truth and beauty in a world of impermanence . "	1
straight up : helicopters in action will take audiences on a series of aerial adventures . 	1
a lapp woman anni gives a shelter to both of them at her farm . 	1
it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots . 	1
a set of grisly murders brings fbi agent will graham ( norton ) out of retirement and puts him in search of an atrocious killer ( fiennes ) who's driven by the image of a painting . 	1
soon , the team begins to suspect that knowles' main objective is actually to recover the prototype of a dna testing machine called the huxley project , which his company has spent years and millions of dollars developing . 	1
his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . 	1
with a rare gift for melding subjectivity with biographical facts , m&#225 ; rton brings sabina spielrein back to life , body and soul . 	1
seeking a mental escape , simone begins to tune into what's happening with the other couples around her . 	1
the beatle fan is a drama about albert , a psychotic prisoner who is a devoted fan of john lennon and the beatles . 	1
then , in 1974 , something incredible happened - they fell in love . 	1
"on her deathbed , candice klein accidentally asks the question , "" what did i ever do to deserve this ? "" "	1
"shot as a "" behind-the-scenes "" look at how a fictional kung-fu movie is made , the film is basically a movie about the making of a movie . "	1
before the investigation ends , we've met boyfriends , a drug dealer , alicia's mom , hadley's dad , nurses , doctors , and an orderly . 	1
but what exactly is good &#38 ; what exactly is evil ? 	1
the movie takes place in mexico , 2002 ( based on a story from the 1800's ) . 	1
rainone's love affair with singing sensation kelly mcguire whom he discovered and his near demise by the hands of his own prot&#233 ; g&#233 ; vincent riccola is the juice that fuels this roller coaster ride through two debauchery-filled decades of greed , sex , drugs and rock and roll . 	1
trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self . . . 	1
decent-but-dull dek loves shirley , so much so that he humiliates her by proposing without warning on national television . 	1
since all her architects are either busy otherwise or too conservative in style , this ambivalent honour falls to numerobis . 	1
there's a story that goes around the town of darkness falls about her , and she's called the tooth fairy . 	1
a strange film employing old home movies and newly shot footage in an effort to expose one hungarian family and their mutiple problems from the 1940s to current . 	1
matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice . 	1
elvis teams up with jack ( ossie davis ) , a fellow nursing home resident who thinks that he is actually president john f . kennedy , and the two valiant old codgers sally forth to battle an evil egyptian entity who has chosen their long-term care facility as his happy hunting grounds . 	1
everywhere he goes he is plagued by cats and when by chance he meets carol on a lonely highway they must begin a journey , avoiding the mysterious private detective mr barlow and the terrifying inhuman creature jack , to uncover the dark truth to charlie's life . 	1
used to living in poverty , it seemed impossible for cass and cary to have a comfortable and bountiful life until doqa gracia comes to bring them into her home . 	1
the story of a normal family in which come out the dreams of those who have lost their possibilities and of those who want to realize them . 	1
with grit and determination molly guides the girls on an epic journey , one step ahead of the authorities , over 1 , 500 miles of australia's outback in search of the rabbit-proof fence that bisects the continent and will lead them home . 	1
they nevertherless feel responsible to protect the flag until monday's ceremony . 	1
the doctor realizes it''s a love virus so he advises him to woo the girl somehow , not realizing that munnabhai has fallen for none other than his own younger sister komal . 	1
however , he can only inhabit the body of a child for a short time . 	1
years later , on a hunting trip in the maine woods , they are overtaken by a blizzard , a vicious storm in which something much more ominous moves . 	1
consequently , what begins as an enthusiastic road trip is soon plagued with mysterious roadside obstacles that threaten to prevent the boys from ever making it to the competition . 	1
when she gets into trouble with the police simon represses his death wish and decides to help her out . 	1
chon then travels to new york for roy o'bannon ( owen wilson ) . 	1
not only must they overcome an enemy adept at technological witchery , they must overcome the curse that marks their destiny . 	1
their life becomes less ordinary when they encounter herb , a mischievous and malevolent geek . 	1
they call themselves d . e . b . s . 	1
the story starts with hakimi , a freelance scriptwriter who is on his way to send his 7-year-old daughter , imelda , to his ex-wife's house on one stormy night . 	1
they follow leads , informants turn up dead , nick's wife is unhappy he's back on the street , henry's protective of the dead cop's wife . 	1
"the second part of aki kaurism&#228 ; ki's "" finland "" trilogy , the film follows a man who arrives in helsinki and gets beaten up so severely he develops amnesia . "	1
soon after the accident , the survivors of the accident start dropping like flies . 	1
edgar becomes intent on laying down some new rules and turning his coddled son into someone who can take on the family farm . 	1
bound by a long red cord , a young couple wanders in search of something they have forgotten . 	1
sudden fame does not seem to solve everything , however . 	1
with no option , joe and katsuragi must use their martial arts skills to fight in the muscle dome . 	1
drawing from his time with the kids , he writes a story about children who don't want to grow up . 	1
she's an artist , but hasn't picked up a brush in a year . 	1
when his daughter is kidnapped and held in exchange for priceless diamonds , the leader of a crew of highly skilled urban thieves ( dmx ) forges an unlikely alliance with a taiwanese intelligence officer ( jet li ) to rescue her . 	1
" "" garmento "" tells the other side of the story , with a dark and satirical look at new york's wholesale garment industry , where shady deals are made for a buck and ruthlessness is a prerequisite for career success . "	1
rudy yellowshirt is an investigator with the police department and witnesses firsthand the painful legacy of indian existence . 	1
journeying from the vietnam war to pulaski , tennessee and back to vietnam , daughter from danang tensely unfolds as cultural differences and the years of separation take their toll in a riveting film about longing and the personal legacy of war . 	1
each weekend they come back with nothing but a hangover . 	1
robert de niro plays a therapist who is an obsessive-compulsive agoraphobic and hasn't left his apartment in six years . 	1
with his own group , the urban cyber breakers , he has got a dream : to win the dance battle that will bring his team to the world final in new york before reaching usa and fame , he has to overcome the rival group , the ld , to deal with his mother's excessive love and to live out his passion for the beautiful samia . 	1
graced with the instinctive ability to dance , jenny thomas wants nothing more than to become a professional dancer . 	1
genetically engineered to be immune to the drug , miles' strange charisma draws claire to him , but when he brutally guns down a group of harmless dissidents , she begins to doubt she can really trust anyone . 	1
palm springs' white party is the backdrop for this documentary on the fast-paced world of gay circuit parties . 	1
a few questionable actions later on both parties' part , they finally start questioning their actions and their lives . 	1
ramu stands in and repeats the wisdom of sharonna , freeing the mind of the posh guests and attracting lexi to him . 	1
anna is the jewish daughter of a spanish mother and a greek father . 	1
believing his parent's dead , bruce is raised by adoptive parents . 	1
identified as deserters , they are returned to their barracks to be court martialed . 	1
frances decides to take a break and she buys a villa in the beautiful tuscan countryside and decides to begin anew . 	1
set in the los angeles police department in april 1992 , dark blue is a dramatic thriller that takes place just days before the acquittal of four white officers in the beating of black motorist rodney king and the subsequent l . a . riots . 	1
during this time he becomes wracked by horrific and surreal visions that begin to fuel his work . 	1
the face of the serpent is an action-thriller with strong political undertones of local government corruption . 	1
he resurfaces as a hired snoop for , earth now , a radical ecology group . 	1
"surrounded by a bevy of adoring but completely wrong for her men ( and one dead girl from manchester ) , chance has to pick her way through her messy life in order to figure out which guy is "" it "" . "	1
upon discovering her infidelity , roxie's husband amos refuses to take the blame for the murder and roxie is sent to jail , pending hanging . 	1
initially reluctant to help , daniel's conscience eventually gets the better of him . 	1
his plans go awry , however , when his older brother , keith , returns from prison . 	1
inspired and motivated , the kids save the day , showing bravery and nobility . 	1
however he's cauught by the mexican secret police and is forced to infiltrate a gruop political activist in the movement of 68 . 	1
arjun ( akshay kumar ) is a high profile vigilante who soon encounters a problem when his mother ( raakhee ) becomes terribly ill . 	1
ronnie must then deal with his new life , while having to deal with missing his ex-wife that he left back home . 	1
chuck - the songwriting leader of the po'boys , is discouraged and facing writer's block . 	1
chomsky places the terrorist attacks in the context of american foreign intervention throughout the postwar decades--in vietnam , central america , the middle east , and elsewhere . 	1
she quickly makes friends with paul taylor , a witty mormon student filmmaker who finds jenny's ambitious dream to be the subject for his next film project . 	1
one of the friends is a dress designer and provides him the artist's clothes and imported cars are provided to him to enjoy life . 	1
three friends get together and bury a box making a pact to open it at midnight at their high school graduation . 	1
fearful of the repercussions on his already messed up life , greg flees the scene and manages to hide his clunky damaged truck on the nearby overgrown farm of martha thompson , an aging grouchy widow who lives by the scriptures , ideas of traditional family and her trusty shotgun . 	1
but her husband always has prevented her realization of this fact . 	1
today marks a special anniversary for the couple and they set out to celebrate the way they have before , with an old fashion picnic . 	1
the next morning , their friday gets freaky when tess and anna find themselves inside the wrong bodies . 	1
the boy gets a shock when he comes to know that the job involves spying sharad's wife . 	1
in the surroundings of the bookstore , a lot of criminal , but also funny activities take place . 	1
blade's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations . 	1
after letting his screenwriting software sit on his shelf for three years , he finally has the big idea that inspires him to load screenwriter 4 . 0 and get writing . 	1
when the gammasphere goes wrong , bruce banner is afflicted with the ability to turn into a mammoth creature soon dubbed 'the hulk' , a manifestation of his own inner demons that he mutates into when it is emotionally triggered . 	1
renata is a young high-class girl and ulises is a poor guy . 	1
amaro soon discovers that corruption and the church are old acquaintances in los reyes . 	1
in the end , debby , beth , and virginia find , if not the relationships of their dreams , peace with each other and within themselves . 	1
he is in search for his salvation and his son salvation from a family curse . 	1
all are endeavoring to remove the stones that insistently appear in their path or , worst , that are in their shoes . 	1
"renowned adventurer allan quatermain ( connery ) leads a team of extraordinary figures with legendary powers to battle the technological terror of a madman known as "" the fantom . "" "	1
but for trey segal , that dream comes at a cost . 	1
the sequel to spy kids ; the second film revisits the adventures of the previous film . 	1
johnny lever ( paaji ) is a millionaire sardarji who believes in distributing &#38 ; spending lavishly his wealth on his friends . 	1
during the year 2000 geyrhalter and his teams travelled to a different destination each month , looking for places untouched by the millennium hysteria . 	1
kannas brother ghisu is one aggressive and hot-tempered with who is illiterate and is slowly getting attracted towards naxalites . 	1
her loving parents feel helpless as they watch their daughter suffer . 	1
area k is an israeli controlled marine zone isolating the gaza strip and preventing palestinian fishermen from entering israel , egypt and international waters . 	1
while other kids buy into countless hours of studying just so they can get a mark in some teacher's report book , handsome davis sees it as nothing more than a system of control over your mind . 	1
frank's newest transport seems no different from the countless ones he's done in the past . 	1
they are told the story of the chamber of secrets . 	1
but grace has a secret and it is a dangerous one . 	1
the nameless protagonist , a 19th-century french diplomat , guides the audience through a lost , sumptuous dream that was the enlightenment period . 	1
but there is indie rock , a restless entrepreneurial spirit , and carly , morgan and chuck , three optimistic post college grads , ready to make their splash in the world . 	1
a document about a unique political and artistic moment , the film traces the links between the two most important latin american filmmaking movements of the late '60s the brazilian cinema n&#244 ; vo and the cuban cine revolucionario . 	1
in the cutthroat world of children's television , rainbow randolph , the corrupt , costumed star of a popular children's tv show , is fired over a bribery scandal and replaced by squeaky-clean smoochy , a puffy fuscia rhinoceros . 	1
two friends purchase a winning lottery ticket , only to have it stolen by a woman while she is robbing the cafe in which they are having lunch . 	1
"carlton "" niche "" james ( cory barlog ) is a man on a mission . "	1
together , they must battle a band of the world's most treacherous pirates , led by the cursed captain barbossa , in order to save elizabeth , the love of will's life , as well as recover the lost treasure that jack seeks . 	1
in this bittersweet slice of working class single new jersey life , best friends debby and beth ( both pushing thirty ) go looking for love in the wrong place - namely their favorite bar , oliver's . 	1
although their characters and temperaments couldn't be less alike , 19-year olds wei and jie are best friends . 	1
the body bears strange marks on the chest which may or may not be the sign of a sin eater ( furmann ) , a renegade who offers absolution , last rites and therefore a path to heaven outside the jurisdiction of the church . 	1
this romantic comedy , described as an african-american when harry met sally . . . , centers on a romance between an a&#38 ; r exec , dre ( diggs ) , at a hip-hop label and a magazine editor , sidney ( lathan ) , who have known each other since childhood . 	1
matt , a city boy , island hopping to take in the festival of fire , hears that she has been tricked ; for jake is not dying . 	1
a martial artist , afflicted with a disease that makes beautiful women want to kill him , goes on a suicide mission to find true love anyway . 	1
there's only one catch : martin , her ex-husband , still hasn't moved out of the place . 	1
the companies' ceos and attorneys are summoned to a final round of mediation , at an off-shore location . 	1
sid , a sloth who never stops talking is left behind sleeping while everyone else begins the journey to the south . 	1
he tries to ignor it , but he later finds out on the news that the daughter of a senator has been kidnapped and is being help ransom for $15m . 	1
the family come from a long line of masters of disguise who are able to mask themselves as almost anyone or anything by harnessing the great power of energico . 	1
a film so terrifying - even the monsters are frightened ! 	1
what he finds is a pocket of life that seems to be in another era , where prejudice and intolerance are accepted , where the small minds of angry men call the shots and where one woman attempts to save him and fails . 	1
love , politics and intrigue intermingle in this taut retelling of graham greene's classic tale of a disillusioned british journalist , an idealistic young american and the beautiful vietnamese woman that comes between them in 1950s saigon . 	1
thus when he surprisingly gets an email from american film producer alex brubeck who writes that he had liked the script and would like to meet him personally , tam&#225 ; s sees all his dreams come true . 	1
3 beautiful agents try to find the treasure , but they must fight the evil datuk azmi , an old enemy of madame x . it has been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions . 	1
ethan , a confident young architect and seeming 'perfect guy' has invested himself , and his heart , in women like rachel before - and he is sure he has learned his lesson . 	1
a close acquaintance overhears their conversation , and , promised a fee , reports the win to max ( david winburn ) , smooth-talking but deadly leader of a hoodlum gang , who sends his beautiful paramour , cindy ( kelly taylor ) , to seduce jose , if necessary , to get her hands on the winning ticket . 	1
when all but one of mi5's top agents are killed in an explosion . 	1
jack has a history with charlie , a transient who portrays a typical image of the homeless : rough , unshaven and always looking for the next drink . 	1
fourth generation war hero col . william mcnamara is imprisoned in a brutal german pow camp . 	1
oscar is certain that he could be a better mate to eve than his work-obsessed father . 	1
at the same time , scientist and businessman norman osborn , after exposure to an experimental nerve gas , develops an alternate personality himself ; the super-strong , psychotic green goblin ! 	1
from her complex and enduring relationship with her mentor and husband to her illicit and controversial affair with leon trotsky , to her provocative and romantic entanglements with women , frida kahlo lived a bold and uncompromising life as a political , artistic , and sexual revolutionary . 	1
there's ushi , harry's lawyer , who knows something about harry lena doesn't know , eddie , a friend of harry and his new girlfriend pol , and at last , there are two policemen who are in fact unwelcome . 	1
america's best player is being pulled in to the ultimate cyber-terror . 	1
"besides him , the other residents are "" baggers , "" human-like creatures that are infected by the tall man's blood , the dwarves , and , of course , the silver spheres , all trying to break out of the barrier that contains them and into the real world . "	1
but nobody figured sam decker and his juvenile delinquents into the equation . 	1
the film captures intense footage of several art events as well as interviews with burning man organizers larry harvey ( also co-founder ) , crimson rose and will roger who explain how , what started in 1986 as an impromptu summer solstice celebration , put on by a few friends at a beach in san francisco , has turned into a full-blown exercise in city planning and management with a hefty price-tag . 	1
chon's sister , lin ( wong ) , also thirsty for vengeance , stumbles into what appears to be a conspiracy to off the royal family . 	1
a young father amaro arrives at his new church post on the orders of the bishop . 	1
amelia is quickly following into the footsteps of her mother , sanjuanera , who has been engaged in a long-time affair with father benito . 	1
ivan , a captain of the soviet army , arrested by the front secret police 'smersh' , has a narrow escape . 	1
"they follow him to las vegas , where he is ostensibly doing "" research "" for the next season , but is actually pursuing a dream to become a dancer in a vegas show . "	1
whistle completes the trilogy started in from here to eternity and the thin red line . 	1
they gradually find themselves drawn to each other but , as their remarkable story plays out , the obstacles to their happiness prove all but insurmountable . 	1
there he encounters dawn's family who tie him down and put him on trail for the murder of the girl years before . 	1
but all is not smooth in the rockies , as their relationship accelerates - cultural differences , family issues , former loves and life-altering challenges threaten to shake things up . 	1
documentarians weissman and weber have expertly crafted a record of a wondrous time and a wild group in the cockettes , and you won't want to miss a minute of it . 	1
a banker , husband , and father , mr . smith ( larry pine ) must leave it behind him . 	1
before they carry this out , they want to truly experience life on the edge and they devise a plan by which their suicides will make them legends . 	1
one of patricia's early followers is francis hiller ( edward albert jr . ) , jack's son and katherine's stepbrother , a successful local businessman . 	1
but harper himself is a suspect in several bomb attacks , one of which killed rachel's partner and friend . 	1
in a fantasy life she lives through her sketchbook , laura's world is exotic , bright and enchanting . 	1
kilo decides to learn how to prosper in the drug world and his new life as a dealer begins . 	1
he has had no formal education , but on his own , he systematically studies western theories of industrial management and such classical chinese philosophies as confucianism , taoism , and suntzu . 	1
in addition , the detective has to deal with a serial killer who had already killed and mutilated many women . 	1
at times he seems to share nicholas's fascination , but then appears more interested in making inroads with the girls at school . 	1
but there are some surprises on the way . . . 	1
the sra's act as 'portals' on the internet , helping users to fulfill their dreams . 	1
they discover a little bit about love , dating and each other as the search through the thousands of hopefuls . 	1
a zany comedy where as pop is dying he is pushing his remaining son to fulfill his last request ; to marry and carry on the family name . 	1
his father and brother are dead for so many years . 	1
as the girls begin to bond , laura gradually begins to find herself abandoning the safety of the fantasy and falling into her first real friendship . 	1
unwilling to disappoint his proud mother , morales wastes no time in looking for a job to pay his way through school . 	1
the land has been in the grip of a ravaging drought for 10 years . 	1
the story follows them and the people they encounter on their way to their destination . 	1
the movie revolves around munnabhai ( sanjay dutt ) a dreaded but good-hearted underworld don of mumbai . 	1
she calls on a fairy godmother to grants her three wishes . 	1
four characters are carried over , the first sergeant , the clerk , the mess sergent , and the misfit . 	1
she and her daughter flee to find sylvie's first love in the countryside . 	1
to spite the hated infidel ways of her father , she has settled into a complacent relationship and is struggling ( not too hard ) with issues of fidelity to her kind but unexciting husband . 	1
the parent corporation sends in an elite military unit , where they meet alice , who is suffering from amnesia due to exposure to nerve gas . 	1
his search soon sends him down a dangerous path . . . 	1
together , they plan to build their definite house over land that belonged to gregorio's grandfather , but little does the rest of the family suspect that beneath the terrain there is a huge number of weapons buried by gregorio during his youth . 	1
they came to pray , but instead they end up in the middle of an unpleasant religious argument as they suddenly get interrupted by a mystical appearance : is it god ? 	1
ahas , son from a poor family , in his inner struggles , joins the troop of his classmates and heads for the front . 	1
this definitely delivers a remarkable mixture of explosive drama with wickedly ironical humor as you follow this eclectic story surrounding this tide-dyed , free spirited couple's showdown with a mysterious faberge' egg and a seedy , well-woven cast of criminals that will both trill and amuse . 	1
during the war between iran and iraq , a group of iranian kurd musicians set off on an almost impossible mission . 	1
it's valentines day , sweets are currency , and new yorkers can't seem to get enough of their favorite moses donuts . 	1
former world-rallye-champion walter and his daughter natascha are kidnapped by arab terrorists and brought to berlin . 	1
but things take a turn for the worst when sheldon finds out that some of the people that he works with , and some he doesn't know he's working for , are all in it for the money . 	1
the word in las vegas is that he is dead . 	1
and in wicker park ( chicago's answer to greenwich village ) , rachel is about to meet her cosmic match . 	1
leviticus , a navy veteran returns home after serving his country to find the war at home is harder than anything he's ever encountered , but exactly what &#38 ; who is he fighting for ? 	1
but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material . 	1
all of this changes when he finds a large mysterious package left on his doorstep . 	1
this appears to be only the beginning of a string of suicides around the country . 	1
they swore to have their unborn babies get married when they grew up . 	1
after their relationship falters , shane begins to think he might be unlucky and turns to gambling as an outlet for his obsession . 	1
ben cronin has it all : the admiration of his many friends , a terrific girlfriend , and he's on the fast-track to an athletic scholarship . 	1
"sebastien cortez is an up and coming film maker who has just gotten his big break in "" the biz . "" "	1
having an affair with his girlfriend's professor forces him to make difficult decisions about love , friendship , career , and the direction his life should take . 	1
meanwhile , on jesse&#180 ; s trail is the saint of the killers , a holy cowboy assassin with the mission of kill custer . 	1
"swept into the final moments of the ceremony , jenny must decide ; should she hurt all the people who love her by running away , or simply say "" i do "" ? "	1
how does it play a significant role in japanese culture , and why does it fascinate american youth ? 	1
the artist lives alone in a foreboding old house in the country , a place of solitude , free from distractions . 	1
over 80 of the world's greatest martial artists demonstrate techniques and discuss philosophy in this fascinating account of the martial arts phenomenon and its increasing global popularity . 	1
conflict enters their relationship when anthony expresses to victoria that their sex life is practically non-existent . 	1
and yet , amid the overwhelming destitution and the daily quest for survival , the desire for joy , beauty and music is still alive . 	1
he is locked up in a chinese prison where he is guilty until proven innocent . 	1
standard story of boy meets girl and girl thinks he is gay . 	1
adam fields is a rage-filled u . s . border patrol agent who often crosses the line in his job . 	1
then you remember where the bad dreams came from . 	1
brings back nick tellis , fired 18-months ago when a stray bullet hits a pregnant woman . 	1
while awaiting trial , zoe is confined to house arrest , where she alternates falling in love with her frequent visitor and parole officer , daly , and trying to prove her innocence to regain her life and freedom . 	1
in order to preserve her art and also herself , beyond death , for all posterity , she has herself cloned . 	1
he indeed is douglas ( timothy bottoms ) , a perfect look-a-like . 	1
juwanna mann follows the story of jamal jeffries ( miguel a . nunez , jr . ) , the reigning 'bad boy' of basketball , whose undisciplined on-court antics land him out of the league and without any prospects . 	1
"the five protagonists of my film are women who have not been able to organize the large "" stones "" in their lives . "	1
her harrowing story ends in victory , but she has not forgotten the thousands of asylum seekers who remain in detention today . 	1
an unusual family and a staff of two are preparing a party on their cosy mansion . 	1
" "" bums in the mist "" will expose you to a world where alcohol is king and sloth is a virtue ; buddy george will discover , bums who are able to find love and professional success all while maintaining their "" mondern frontiersman "" lifestyle ; bums who's natural gifts enable them to move down the ladder of success at an astronomical rate ( or whatever the opposite of astronomical is ) and who's penchant for violence impact every aspect of their lives . "	1
unfortunately the third seems out of reach - the beautiful , seductive anne elise . 	1
gerry's daughter , mattie , accidentally prints out a dna code that in the wrong hands can end the human race . 	1
devastated by her husband's death from a drug overdose , philippa ( played by cate blanchett ) , a british teacher living in turin , italy , tries to bring justice to the biggest drug dealer in turin when the local police ignore her information about him . 	1
"ex-special forces operator frank martin ( jason statham ) lives what seems to be a quiet life along the french mediterranean , hiring himself out as a mercenary "" transporter "" who moves goods - human or otherwise - from one place to another . "	1
upon sighting a small , previously not there , diner , he pulls in to find help . 	1
simon is desperately trying to save his internet personals business . 	1
"a coming of age dramatic comedy dealing with the effect that two "" summers "" have on the lives of several teenagers . "	1
jack must then put his life in the hands of a series of characters that he just cannot seem to trust - for good reason , they lead him to a fate that jack could never have suspected - a tongue-in-check send-up of a classic urban myth . 	1
the movie introduces us to frankie ( played by david eigenberg ) a would-be romeo who will put himself though great pains to find his juliet . 	1
the friends may listen , but when do they learn maybe never or only when the journey begins with you . 	1
but what if it's lord voldemort trying to make his evil return ? 	1
their letter has been received in whitehall and merton corroborates their heroic story . 	1
their parents , miffed by this , decide to go and kidnap st . nick , unaware that their plan will soon backfire upon them in fun and happy ways . 	1
no one knows this better than 35-year-old vince , back in his hometown of van wert , ohio , after a 13-year absence . 	1
when his mom named him after warren beatty . . . 	1
tom , a spaniard , is married to sylvie and lives a quiet but a bit boring life in the britanny countryside ( west of france ) . 	1
he must do this in secret so that the parents and school personnel know nothing of his plan . 	1
{esther buffy} a young vibrant chinese american female who desperately tries to please her strict parents along the way of trying to find herself . 	1
when a ship sinks off the coast of argentina , ellen brachman , a clever and ambitious claims assessor for the rotterdam marine-insurance company european hayward , suspects a 'sinker' . 	1
then there's nicole , who gets her orgasmic intimacy watching chan every night . 	1
set during the cull of the stray dogs in the city of bucharest , the wild dogs weaves together a week in the lives of several citizens of and visitors to the hauntingly beautiful city . 	1
while treating a homicide detective for smoking , hypnotherapist michael strother has a telepathic vision of a young girl floating beneath the surface of a stream . 	1
everything is set for the perfect weekend , until one of the guests stumbles across an old history of the house with the power to unleash the horrors of scotland's past . 	1
behind every suicide bombing there is at least one human story that ends , the story of the suicide bomber . 	1
steve's best friend , sean , on the other hand , hasn't been so lucky . 	1
partnered with the sassy , stunning sistah girl , our hero must first undergo the ultimate attitude adjustment and trade in his 'fro and platforms for tennis sweaters and penny loafers . 	1
his house , container of lives and memories , is closed and locked . 	1
meanwhile , paro , on the other hand , performed her worldly duties sincerely , but inside her heart , she could never forget devdas for a moment . 	1
until then , he spends most of his time watching sloppy tearjerkers on video . 	1
this film is a prequel to all of the the house of the dead video games . 	1
as in his previous films , this kurdish director is again focusing on the oppression of his people . 	1
scott was on his way to work shooting a documentary in midtown manhattan on september 11th . 	1
a group of hi-tech troops are sent in to destroy the red dimension where the tall man gets his power , reggie ( reggie bannister ) follows so he can find mike ( a . 	1
ever have one of those lifetimes where nothing seems to go right ? 	1
paramount to her world is gene , a wealthy disturbed businessman who has slowly become her benefactor over the years . 	1
will superfag save the world from peckerhead's evil diabolical plan ? 	1
these divisions of play into gender roles cause the girls to start talking as if they were sociologists and psychologists discussing learned behaviors . 	1
the brass want to close out the case , nick and henry stay on it , and bits of evidence point them to an auto body shop . 	1
"see rare footage of some of the world's greatest kickboxers such as benny "" the jet "" urquidez , don "" the dragon wilson and bill "" superfoot "" wallace . "	1
when two african american pilots become the first non-white soldiers in the camp , one turns up murdered and the other accused of killing a white sergeant . 	1
he reluctantly agrees to protect a child , pinta balletto ( fanning ) , whose parents are threatened by a rash of kidnappings . 	1
it becomes a harder choice than one might think . 	1
this startling film provides a gritty look into american politics in the new south . 	1
the internment of 120 , 000 innocent people was a dark moment in the history of this country . 	1
she tells him , and they go to the sonogram appointment together . 	1
billy is more a showbiz p . r agent than a legal lawyer and minipulates the tabloids into thinking roxie is no more than an innocent 'good time girl' who took the wrong path , than a scheming murderess . 	1
to ease their roommate ( selma blair ) through a relationship-induced depression , cameron diaz and christina applegate take her out on the town . 	1
shows that you should not fear death , but to fear an unlived life . 	1
each has their reason for wanting to be there - fame , money , adventure . 	1
when his sister meets a grisly death in san francisco , he goes there to hunt her killer . 	1
ray misses a chance to see his brother paul before he dies of cancer . 	1
principle photography began in july 1999 when the band , bering strait , entered the united states and began recording their first album in nashville . 	1
daniel soon gets his chance to find out when the basement floods and his mother insists daniel share his bedroom with robert while the plumbers fix the mess downstairs . . . 	1
in flashbacks that parallel his investigation , we see alicia , a scholarship girl worried about her grades , gradually pulled into the social life of three rich and amoral young women , led by the blond hadley , a femme fatale . 	1
nsa agent gibbons ( samuel l . jackson ) forces xxx to cooperate with the government to infiltrate an underground russian crime ring and avoid going to prison . 	1
in a fit of desperation he challenges god and vents that if only he had god's power , he could solve all his problems . 	1